Frame,Time,RightBicepsBrachiiCaputBrevis,RightTricepsBrachiiCaputLongus,LeftBicepsBrachiiCaputBrevis,LeftTricepsBrachiiCaputLongus,RightTrapeziusDescendens,LeftTrapeziusDescendens,RightLatissimusDorsi,LeftLatissimusDorsi
83,0.083,0.005921,0.010323,0.000704,0.000966,-0.013145,-0.101023,0.000258,-0.048437
84,0.084,0.002832,0.008057,0.000033,0.007142,-0.012116,-0.164191,-0.001914,-0.028083
85,0.085,0.001954,0.005131,-0.006364,0.017304,-0.011032,-0.137526,0.001664,-0.003502
86,0.086,-0.003950,0.003239,-0.010532,0.010257,-0.008232,-0.066621,0.002189,0.006207
87,0.087,0.004490,-0.002001,-0.011143,-0.006145,-0.002230,0.018664,0.002728,-0.008791
88,0.088,-0.005764,-0.008888,-0.014618,-0.008334,0.000043,0.075712,0.004288,-0.000760
89,0.089,-0.001650,-0.000424,-0.011517,-0.018416,0.002126,0.085530,0.003983,0.006427
90,0.090,-0.005279,0.000592,-0.016653,-0.023896,-0.007253,0.094469,0.002822,-0.013972
91,0.091,-0.001983,0.003625,-0.007295,-0.018726,-0.027877,0.085380,0.003169,-0.016769
92,0.092,0.009564,0.006302,0.006546,-0.008013,-0.030579,0.077220,0.004180,-0.024114
93,0.093,0.005082,0.003755,0.008362,-0.006608,-0.027735,0.069808,0.003846,-0.012993
94,0.094,0.003838,0.000046,0.003269,-0.005389,-0.029972,0.050315,0.004524,-0.002865
95,0.095,0.000255,0.000731,0.001729,0.000190,-0.018756,0.021018,0.000619,0.002712
96,0.096,0.001417,0.003764,0.003048,0.001198,-0.020737,-0.037405,-0.001085,0.007818
97,0.097,0.006784,-0.001456,0.001839,0.002061,-0.022516,-0.060367,-0.004631,0.009363
98,0.098,0.020883,-0.000766,-0.001392,-0.005681,-0.010596,-0.024659,-0.003423,-0.000290
99,0.099,0.002616,-0.004962,0.001616,-0.012876,-0.021067,0.007635,-0.003725,0.000854
100,0.100,0.000454,-0.003235,0.000745,-0.010099,-0.035997,0.001874,-0.001813,-0.004772
101,0.101,0.011769,0.001502,0.003244,0.002741,-0.025607,0.007084,-0.004974,-0.001768
102,0.102,0.009908,-0.004223,0.002540,0.008276,0.002401,0.021366,-0.002044,0.010400
103,0.103,0.011934,0.004220,0.003175,0.003177,0.022326,0.034398,0.002255,0.008712
104,0.104,0.007053,0.003212,0.000106,0.004663,0.040293,0.030367,0.000639,0.016360
105,0.105,0.005736,-0.004029,0.002939,0.005966,0.056439,0.033752,0.002248,0.015075
106,0.106,0.007298,-0.004832,-0.004842,0.004759,0.053299,0.023799,0.008416,0.026498
107,0.107,0.003813,0.001116,-0.001643,0.003722,0.039378,0.014922,0.005961,0.028118
108,0.108,0.000850,0.001820,-0.004676,-0.003523,0.036791,0.001266,0.008240,0.024129
109,0.109,0.008347,0.001176,-0.003833,-0.017460,0.030013,-0.010948,0.004784,0.012862
110,0.110,0.005877,0.000709,0.000374,-0.019368,0.023801,-0.021902,0.001838,0.008361
111,0.111,0.011996,0.005967,0.010284,0.008507,0.003319,-0.019665,0.000252,0.001488
112,0.112,0.006982,0.009508,0.014246,0.028323,-0.004776,-0.025012,0.001879,-0.004710
113,0.113,0.003668,0.002590,0.005401,0.024636,-0.007114,-0.036553,0.005028,-0.014975
114,0.114,-0.002992,-0.000086,0.002164,0.014746,-0.009269,-0.025649,0.002254,-0.018991
115,0.115,-0.000031,0.004161,0.003165,0.005954,-0.011216,-0.015849,0.004215,-0.027725
116,0.116,-0.000619,-0.001034,-0.001401,0.008669,-0.012973,0.000610,0.001093,-0.026663
