Frame,Time,GSensor.X,GSensor.Y,GSensor.Z
269,2.690,3.1,-1.2,113.8
270,2.700,3.1,-1.2,113.8
271,2.710,3.1,-1.2,113.8
272,2.720,3.1,-1.2,113.8
273,2.730,3.2,-1.2,113.8
274,2.740,3.2,-1.2,113.8
275,2.750,3.2,-1.2,113.8
276,2.760,3.2,-1.2,113.8
277,2.770,3.2,-1.2,113.8
278,2.780,3.2,-1.2,113.8
279,2.790,3.2,-1.2,113.8
280,2.800,3.2,-1.2,113.8
281,2.810,3.2,-1.2,113.8
282,2.820,3.2,-1.2,113.8
283,2.830,3.2,-1.2,113.8
284,2.840,3.2,-1.2,113.8
285,2.850,3.2,-1.2,113.8
286,2.860,3.2,-1.2,113.8
287,2.870,3.2,-1.2,113.8
288,2.880,3.1,-1.2,113.8
289,2.890,3.1,-1.2,113.8
290,2.900,3.1,-1.2,113.8
291,2.910,3.1,-1.2,113.8
292,2.920,3.1,-1.2,113.8
293,2.930,3.1,-1.2,113.8
294,2.940,3.1,-1.2,113.8
295,2.950,3.1,-1.2,113.8
296,2.960,3.1,-1.2,113.8
297,2.970,3.1,-1.2,113.8
298,2.980,3.0,-1.2,113.8
299,2.990,3.0,-1.2,113.8
300,3.000,3.0,-1.2,113.8
301,3.010,3.0,-1.2,113.8
302,3.020,3.0,-1.2,113.8
303,3.030,3.0,-1.2,113.8
304,3.040,3.0,-1.2,113.8
305,3.050,3.0,-1.2,113.8
306,3.060,3.0,-1.2,113.8
307,3.070,3.0,-1.2,113.8
308,3.080,3.0,-1.2,113.8
309,3.090,3.0,-1.2,113.8
310,3.100,3.0,-1.2,113.8
311,3.110,3.0,-1.2,113.8
312,3.120,3.0,-1.2,113.8
313,3.130,3.0,-1.2,113.8
314,3.140,3.0,-1.2,113.8
315,3.150,3.0,-1.2,113.8
316,3.160,3.0,-1.2,113.8
317,3.170,3.0,-1.2,113.8
318,3.180,3.0,-1.2,113.8
319,3.190,3.0,-1.2,113.8
320,3.200,3.0,-1.2,113.8
321,3.210,3.0,-1.2,113.8
322,3.220,3.0,-1.2,113.8
323,3.230,3.0,-1.2,113.8
324,3.240,3.0,-1.2,113.8
325,3.250,3.0,-1.2,113.8
326,3.260,3.0,-1.2,113.8
327,3.270,3.0,-1.3,113.8
328,3.280,3.0,-1.3,113.8
329,3.290,3.0,-1.3,113.8
330,3.300,3.0,-1.3,113.8
331,3.310,2.9,-1.3,113.8
332,3.320,2.9,-1.3,113.8
333,3.330,2.9,-1.3,113.8
334,3.340,2.9,-1.3,113.8
335,3.350,2.9,-1.3,113.8
336,3.360,2.9,-1.2,113.8
337,3.370,2.9,-1.2,113.8
338,3.380,2.9,-1.2,113.8
339,3.390,2.9,-1.2,113.8
340,3.400,2.9,-1.2,113.8
341,3.410,2.9,-1.2,113.8
342,3.420,2.9,-1.2,113.8
343,3.430,2.9,-1.2,113.8
344,3.440,2.9,-1.2,113.8
345,3.450,3.0,-1.2,113.8
346,3.460,3.0,-1.2,113.8
347,3.470,3.0,-1.2,113.8
348,3.480,3.0,-1.2,113.8
349,3.490,3.0,-1.3,113.8
350,3.500,3.0,-1.3,113.8
351,3.510,3.0,-1.3,113.8
352,3.520,3.0,-1.3,113.8
353,3.530,3.0,-1.3,113.8
354,3.540,3.0,-1.3,113.8
355,3.550,3.0,-1.3,113.8
356,3.560,3.0,-1.3,113.8
357,3.570,3.0,-1.3,113.8
358,3.580,3.0,-1.3,113.8
359,3.590,3.0,-1.3,113.8
360,3.600,3.1,-1.3,113.8
361,3.610,3.1,-1.3,113.8
362,3.620,3.1,-1.3,113.8
363,3.630,3.1,-1.3,113.8
364,3.640,3.1,-1.3,113.8
365,3.650,3.1,-1.3,113.8
366,3.660,3.2,-1.3,113.8
367,3.670,3.2,-1.3,113.8
368,3.680,3.3,-1.3,113.8
369,3.690,3.4,-1.3,113.8
370,3.700,3.6,-1.2,113.8
371,3.710,3.7,-1.2,113.8
372,3.720,3.9,-1.2,113.8
373,3.730,4.2,-1.2,113.8
374,3.740,4.5,-1.1,113.8
375,3.750,4.9,-1.1,113.8
376,3.760,5.3,-1.0,113.8
377,3.770,5.8,-1.0,113.8
378,3.780,6.4,-0.9,113.8
379,3.790,7.0,-0.8,113.8
380,3.800,7.6,-0.6,113.8
381,3.810,8.2,-0.5,113.8
382,3.820,8.9,-0.4,113.8
383,3.830,9.6,-0.2,113.7
384,3.840,10.4,-0.0,113.7
385,3.850,11.1,0.2,113.7
386,3.860,11.8,0.4,113.7
387,3.870,12.5,0.7,113.7
388,3.880,13.2,1.1,113.7
389,3.890,13.9,1.4,113.7
390,3.900,14.6,1.8,113.8
391,3.910,15.3,2.2,113.8
392,3.920,16.0,2.7,113.9
393,3.930,16.6,3.1,113.9
394,3.940,17.3,3.6,114.0
395,3.950,17.9,4.0,114.1
396,3.960,18.5,4.5,114.1
397,3.970,19.1,4.9,114.2
398,3.980,19.8,5.4,114.3
399,3.990,20.4,5.9,114.4
400,4.000,21.0,6.4,114.5
401,4.010,21.6,7.0,114.6
402,4.020,22.3,7.6,114.6
403,4.030,22.9,8.2,114.7
404,4.040,23.6,8.8,114.8
405,4.050,24.2,9.4,114.9
406,4.060,24.9,10.0,115.0
407,4.070,25.6,10.7,115.1
408,4.080,26.3,11.3,115.2
409,4.090,27.0,12.0,115.3
410,4.100,27.7,12.6,115.5
411,4.110,28.4,13.2,115.6
412,4.120,29.1,13.7,115.8
413,4.130,29.8,14.2,115.9
414,4.140,30.4,14.7,116.1
415,4.150,31.1,15.2,116.3
416,4.160,31.7,15.6,116.6
417,4.170,32.4,15.9,116.8
418,4.180,33.1,16.3,117.1
419,4.190,33.9,16.6,117.3
420,4.200,34.5,16.9,117.6
421,4.210,35.2,17.2,117.9
422,4.220,35.8,17.4,118.3
423,4.230,36.3,17.7,118.6
424,4.240,36.8,17.9,119.0
425,4.250,37.4,18.1,119.3
426,4.260,38.0,18.3,119.7
427,4.270,38.6,18.4,120.1
428,4.280,39.2,18.6,120.4
429,4.290,39.7,18.7,120.8
430,4.300,40.3,18.8,121.2
431,4.310,40.8,19.0,121.7
432,4.320,41.1,19.1,122.1
433,4.330,41.5,19.3,122.5
434,4.340,41.9,19.5,123.0
435,4.350,42.3,19.7,123.4
436,4.360,42.8,20.0,123.8
437,4.370,43.2,20.3,124.3
438,4.380,43.6,20.6,124.7
439,4.390,43.9,20.9,125.2
440,4.400,44.2,21.2,125.7
441,4.410,44.5,21.6,126.1
442,4.420,44.9,21.9,126.6
443,4.430,45.3,22.3,127.0
444,4.440,45.7,22.6,127.5
445,4.450,46.0,23.0,127.9
446,4.460,46.3,23.4,128.4
447,4.470,46.5,23.7,128.8
448,4.480,46.9,24.2,129.3
449,4.490,47.2,24.6,129.7
450,4.500,47.6,25.0,130.2
451,4.510,48.0,25.3,130.7
452,4.520,48.4,25.7,131.1
453,4.530,48.9,26.1,131.5
454,4.540,49.3,26.5,131.9
455,4.550,49.8,26.9,132.4
456,4.560,50.3,27.3,132.8
457,4.570,50.9,27.7,133.3
458,4.580,51.5,28.1,133.7
459,4.590,52.2,28.5,134.2
460,4.600,53.1,29.1,134.7
461,4.610,53.9,29.6,135.3
462,4.620,54.7,30.3,135.8
463,4.630,55.5,30.9,136.4
464,4.640,56.3,31.6,137.1
465,4.650,56.9,32.3,137.7
466,4.660,57.6,33.1,138.4
467,4.670,58.3,33.8,139.0
468,4.680,59.1,34.6,139.7
469,4.690,59.8,35.4,140.5
470,4.700,60.5,36.2,141.2
471,4.710,61.2,37.0,142.0
472,4.720,61.9,37.9,142.9
473,4.730,62.7,38.7,143.7
474,4.740,63.5,39.6,144.5
475,4.750,64.4,40.4,145.4
476,4.760,65.4,41.2,146.3
477,4.770,66.2,42.1,147.1
478,4.780,67.0,43.0,147.9
479,4.790,67.7,43.8,148.7
480,4.800,68.1,44.8,149.3
481,4.810,68.3,45.7,149.9
482,4.820,68.4,46.8,150.3
483,4.830,68.5,47.8,150.7
484,4.840,68.5,48.9,151.0
485,4.850,68.5,50.1,151.1
486,4.860,68.4,51.2,151.2
487,4.870,68.5,52.2,151.5
488,4.880,68.5,53.2,151.7
489,4.890,68.4,54.2,151.9
490,4.900,68.3,55.2,152.1
491,4.910,68.1,56.1,152.1
492,4.920,67.9,57.1,152.0
493,4.930,67.8,58.1,151.7
494,4.940,67.8,59.0,151.4
495,4.950,68.2,59.8,151.0
496,4.960,68.9,60.6,150.7
497,4.970,70.0,61.3,150.5
498,4.980,71.2,62.0,150.4
499,4.990,72.4,62.7,150.4
500,5.000,73.4,63.4,150.4
501,5.010,74.3,64.0,150.3
502,5.020,74.9,64.6,150.2
503,5.030,75.3,65.3,149.9
504,5.040,75.5,65.9,149.4
505,5.050,75.6,66.5,148.8
506,5.060,75.7,67.1,148.2
507,5.070,75.8,67.7,147.6
508,5.080,75.7,68.2,146.8
509,5.090,75.6,68.7,146.0
510,5.100,75.3,69.1,145.2
511,5.110,75.1,69.5,144.3
512,5.120,74.9,69.9,143.4
513,5.130,74.7,70.3,142.5
514,5.140,74.6,70.7,141.6
515,5.150,74.3,71.1,140.7
516,5.160,73.8,71.4,139.7
517,5.170,73.3,71.8,138.7
518,5.180,72.7,72.2,137.7
519,5.190,72.2,72.6,136.7
520,5.200,71.4,73.0,135.5
521,5.210,70.7,73.5,134.3
522,5.220,69.9,73.9,133.1
523,5.230,69.0,74.3,131.9
524,5.240,67.9,74.8,130.6
525,5.250,66.7,75.2,129.3
526,5.260,65.2,75.7,127.7
527,5.270,63.6,76.1,125.9
528,5.280,61.8,76.6,123.9
529,5.290,59.9,77.0,121.8
530,5.300,58.0,77.3,119.6
531,5.310,55.9,77.5,117.3
532,5.320,53.4,77.7,114.8
533,5.330,51.0,77.8,112.2
534,5.340,48.5,77.9,109.5
535,5.350,46.2,77.9,106.9
536,5.360,43.9,78.0,104.2
537,5.370,41.5,77.9,101.7
538,5.380,39.1,77.8,99.1
539,5.390,36.7,77.6,96.7
540,5.400,34.2,77.3,94.1
541,5.410,31.9,77.0,91.8
542,5.420,29.6,76.7,89.4
543,5.430,27.4,76.4,87.2
544,5.440,25.3,76.0,85.0
545,5.450,23.3,75.6,83.0
546,5.460,21.5,75.1,81.2
547,5.470,19.9,74.6,79.6
548,5.480,18.3,74.0,78.1
549,5.490,16.7,73.4,76.6
550,5.500,15.1,72.8,75.1
551,5.510,13.5,72.2,73.6
552,5.520,12.2,71.5,72.2
553,5.530,10.9,70.8,71.0
554,5.540,9.7,70.2,69.9
555,5.550,8.5,69.4,68.9
556,5.560,7.3,68.7,67.8
557,5.570,6.2,67.9,66.8
558,5.580,5.2,67.1,65.8
559,5.590,4.3,66.2,64.8
560,5.600,3.5,65.3,64.0
561,5.610,2.9,64.4,63.3
562,5.620,2.1,63.5,62.7
563,5.630,1.5,62.5,62.2
564,5.640,1.0,61.5,61.7
565,5.650,0.6,60.5,61.2
566,5.660,0.2,59.4,60.8
567,5.670,-0.1,58.2,60.4
568,5.680,-0.3,57.1,60.1
569,5.690,-0.6,55.9,59.8
570,5.700,-0.8,54.7,59.6
571,5.710,-1.1,53.5,59.5
572,5.720,-1.4,52.2,59.4
573,5.730,-1.7,50.8,59.2
574,5.740,-2.0,49.5,59.1
575,5.750,-2.2,48.1,59.0
576,5.760,-2.4,46.6,58.9
577,5.770,-2.4,45.1,58.9
578,5.780,-2.3,43.4,59.0
579,5.790,-2.1,41.7,59.1
580,5.800,-1.8,39.9,59.2
581,5.810,-1.4,38.1,59.3
582,5.820,-0.9,36.2,59.5
583,5.830,-0.4,34.2,59.7
584,5.840,0.2,32.2,59.9
585,5.850,1.0,30.0,60.1
586,5.860,1.9,27.7,60.3
587,5.870,3.0,25.2,60.5
588,5.880,4.3,22.7,60.7
589,5.890,6.0,20.2,60.9
590,5.900,7.9,17.7,61.1
591,5.910,10.0,15.2,61.4
592,5.920,12.1,12.6,61.6
593,5.930,14.5,10.0,61.8
594,5.940,16.9,7.5,62.1
595,5.950,19.4,5.0,62.4
596,5.960,21.9,2.6,62.7
597,5.970,24.3,0.2,63.1
598,5.980,26.4,-2.2,63.5
599,5.990,28.1,-4.7,64.0
600,6.000,29.5,-7.0,64.6
601,6.010,30.8,-9.4,65.3
602,6.020,31.4,-11.7,66.1
603,6.030,31.8,-14.0,67.0
604,6.040,32.2,-16.3,67.9
605,6.050,32.3,-18.6,68.9
606,6.060,32.1,-20.8,70.1
607,6.070,32.1,-23.1,71.3
608,6.080,31.8,-25.3,72.7
609,6.090,31.2,-27.4,74.2
610,6.100,30.8,-29.5,75.8
611,6.110,31.0,-31.6,77.3
612,6.120,31.2,-33.6,78.7
613,6.130,31.5,-35.6,80.1
614,6.140,31.7,-37.6,81.6
615,6.150,32.4,-39.7,83.2
616,6.160,33.4,-41.8,84.7
617,6.170,34.6,-43.8,86.1
618,6.180,35.6,-45.8,87.5
619,6.190,36.2,-47.6,88.7
620,6.200,36.5,-49.3,90.1
621,6.210,36.5,-50.9,91.6
622,6.220,36.4,-52.3,93.2
623,6.230,36.1,-53.6,94.9
624,6.240,35.5,-54.8,96.6
625,6.250,34.6,-55.8,98.4
626,6.260,33.6,-56.7,100.2
627,6.270,32.4,-57.4,102.2
628,6.280,31.1,-58.0,104.3
629,6.290,29.7,-58.5,106.5
630,6.300,28.4,-58.9,108.6
631,6.310,27.0,-59.2,110.8
632,6.320,25.4,-59.5,112.9
633,6.330,23.7,-59.8,115.1
634,6.340,22.1,-59.9,117.3
635,6.350,20.6,-60.1,119.5
636,6.360,19.2,-60.2,121.6
637,6.370,17.8,-60.2,123.5
638,6.380,16.4,-60.2,125.6
639,6.390,14.8,-60.2,127.7
640,6.400,13.1,-60.1,129.8
641,6.410,11.4,-60.0,131.9
642,6.420,9.8,-59.9,133.9
643,6.430,8.3,-59.7,136.0
644,6.440,6.8,-59.4,138.0
645,6.450,5.4,-59.1,139.9
646,6.460,3.9,-58.7,141.8
647,6.470,2.6,-58.3,143.7
648,6.480,1.5,-57.8,145.5
649,6.490,0.6,-57.4,147.2
650,6.500,-0.2,-57.0,148.8
651,6.510,-1.0,-56.6,150.3
652,6.520,-1.6,-56.1,151.7
653,6.530,-2.2,-55.5,153.0
654,6.540,-2.7,-54.9,154.3
655,6.550,-3.1,-54.3,155.5
656,6.560,-3.3,-53.7,156.6
657,6.570,-3.5,-53.0,157.6
658,6.580,-3.6,-52.2,158.6
659,6.590,-3.7,-51.4,159.4
