Frame,Time,RightBicepsbrachiicaputbrevis,RightTricepsbrachiicaputlongus,LeftBicepsbrachiicaputbrevis,LeftTricepsbrachiicaputlongus,RightTrapeziusdescendens,LeftTrapeziusdescendens,RightLatissimusDorsi,LeftLatissimusDorsi,
131,0.131,0.014000,0.001562,0.005804,0.009106,0.026376,0.005703,-0.007387,0.004819,
132,0.132,0.004304,-0.001356,0.005255,0.006891,0.022372,-0.010468,-0.008911,0.010056,
133,0.133,0.000513,-0.001913,0.004703,0.006209,0.004160,-0.031075,-0.010259,0.000742,
134,0.134,0.012929,-0.000775,0.001617,0.007905,-0.045490,-0.000691,-0.013986,0.001914,
135,0.135,0.004368,0.000356,0.000396,0.005037,-0.138062,0.035617,-0.008397,0.000889,
136,0.136,0.008899,-0.004768,0.002902,0.005572,-0.251736,0.040589,-0.013650,-0.000135,
137,0.137,0.007610,0.001616,0.001192,0.004438,-0.236482,0.009971,-0.009097,0.000701,
138,0.138,0.006429,-0.000966,0.000154,0.001616,-0.111269,-0.001775,-0.003190,0.003225,
139,0.139,0.007423,-0.003206,0.003857,0.002691,-0.027181,-0.005273,-0.001006,-0.003711,
140,0.140,-0.006314,-0.001219,-0.001924,0.002420,0.018664,-0.035026,0.002546,0.004755,
141,0.141,-0.004476,-0.000760,0.000243,0.002824,0.060248,-0.046866,0.000848,0.001547,
142,0.142,-0.002804,0.002071,-0.000470,0.003570,0.097923,-0.050451,0.002526,-0.005735,
143,0.143,0.004790,0.004560,-0.002178,-0.000254,0.132379,-0.007505,0.000982,-0.001163,
144,0.144,0.008839,0.005700,-0.000512,0.001512,0.163453,0.069012,0.002145,-0.001998,
145,0.145,0.017627,0.003629,-0.001048,0.002100,0.172885,0.100174,0.005005,-0.004179,
146,0.146,0.007314,0.005445,-0.000721,-0.004764,0.146996,0.071826,0.005326,0.000738,
147,0.147,0.000397,0.005745,-0.001931,0.006817,0.107987,0.046131,0.006326,-0.002284,
148,0.148,-0.008372,0.004024,-0.001620,0.005367,0.072610,0.038553,0.007994,-0.000565,
149,0.149,0.004198,0.007044,-0.002657,0.004085,0.040452,0.031663,0.003740,-0.004093,
150,0.150,-0.004181,0.001431,0.000372,0.005332,-0.000365,0.025459,-0.000518,-0.001016,
151,0.151,-0.011702,-0.002318,-0.001509,-0.000182,-0.016155,-0.003610,-0.000041,-0.002162,
152,0.152,-0.007535,0.001212,0.001688,0.000904,-0.011300,-0.008709,-0.000563,0.003632,
153,0.153,-0.011143,0.000687,-0.002218,-0.001730,-0.006794,-0.003875,-0.003618,0.001129,
154,0.154,-0.005436,-0.001016,0.001329,-0.004196,-0.002822,0.009379,-0.001609,0.001849,
155,0.155,-0.016794,0.000490,-0.001737,0.001115,0.000817,0.005545,0.000906,0.002567,
156,0.156,-0.021213,0.000144,-0.000561,-0.006606,0.004130,-0.012566,-0.000804,0.003105,
157,0.157,-0.014093,-0.001050,-0.000230,-0.003508,0.007114,-0.035595,-0.001839,0.006032,
158,0.158,-0.010178,0.002506,-0.001936,-0.002607,-0.000834,-0.056443,-0.001172,0.002536,
159,0.159,-0.017750,-0.001705,0.002457,-0.001707,-0.007884,-0.053821,0.002710,-0.000453,
160,0.160,-0.014487,-0.003389,-0.001602,-0.005368,-0.009864,-0.051535,0.009132,0.002476,
161,0.161,-0.005818,0.000176,0.004145,-0.001740,-0.019792,-0.062801,0.013347,0.003547,
162,0.162,-0.015913,-0.000137,0.003469,-0.001160,-0.025158,-0.069013,0.006403,0.002588,
163,0.163,-0.014353,0.002766,-0.000080,0.000607,-0.030021,-0.048680,0.003681,0.000273,
164,0.164,-0.017882,0.000263,0.000434,-0.005076,-0.025251,-0.024133,0.007893,0.004546,
165,0.165,-0.012042,0.001300,0.004504,-0.001278,-0.023699,-0.007812,0.004142,0.000371,
166,0.166,-0.012765,-0.001710,0.002986,-0.006089,-0.024689,0.007117,0.007673,-0.002457,
167,0.167,-0.002173,0.000866,-0.000050,-0.000217,-0.021293,0.015405,0.007147,0.003347,
168,0.168,-0.005964,-0.004337,0.002843,-0.002280,-0.022173,0.013156,0.005440,0.007128,
169,0.169,-0.006878,0.002644,0.001006,0.002749,-0.017480,0.015430,0.008993,0.002285,
170,0.170,-0.003380,-0.000025,0.003386,-0.001350,-0.019914,0.013433,0.006784,0.000649,
171,0.171,0.010568,-0.002523,-0.001670,0.002836,-0.014593,0.007866,0.007117,0.002400,
172,0.172,-0.002206,-0.001795,-0.000966,0.000429,-0.025215,-0.017518,0.002895,-0.002271,
173,0.173,0.013261,-0.005288,0.000755,0.000889,-0.020647,-0.050403,-0.005887,-0.001694,
