Frame,Time,GSensor.X,GSensor.Y,GSensor.Z
369,3.690,12.3,0.3,0.1
370,3.700,15.1,0.6,0.0
371,3.710,19.0,0.7,-0.1
372,3.720,23.6,1.0,-0.2
373,3.730,28.0,1.4,-0.3
374,3.740,33.9,2.3,-0.4
375,3.750,38.1,3.8,-0.7
376,3.760,46.4,5.2,-1.0
377,3.770,53.5,6.9,-1.3
378,3.780,57.5,8.7,-1.8
379,3.790,58.1,10.6,-2.4
380,3.800,60.1,12.2,-2.7
381,3.810,63.8,13.5,-3.3
382,3.820,67.0,15.2,-3.7
383,3.830,69.6,16.9,-4.1
384,3.840,70.5,19.0,-4.6
385,3.850,66.5,21.5,-5.1
386,3.860,70.1,23.3,-5.6
387,3.870,71.7,25.3,-6.1
388,3.880,62.4,28.9,-5.9
389,3.890,68.6,30.9,-5.9
390,3.900,66.8,34.3,-5.6
391,3.910,61.8,38.2,-5.1
392,3.920,59.4,41.1,-5.9
393,3.930,57.3,43.8,-6.4
394,3.940,53.5,46.2,-7.3
395,3.950,53.3,48.3,-8.1
396,3.960,56.6,50.2,-8.9
397,3.970,61.2,52.0,-9.9
398,3.980,63.8,54.1,-11.1
399,3.990,59.3,56.7,-12.3
400,4.000,57.9,58.6,-13.7
401,4.010,58.6,60.1,-14.9
402,4.020,61.2,60.8,-16.1
403,4.030,61.6,61.6,-17.2
404,4.040,61.6,62.3,-17.8
405,4.050,63.4,62.3,-18.2
406,4.060,64.4,62.2,-18.3
407,4.070,63.9,61.6,-18.2
408,4.080,65.1,60.5,-17.6
409,4.090,64.4,58.8,-16.8
410,4.100,62.9,56.8,-15.7
411,4.110,59.8,55.0,-13.9
412,4.120,61.1,52.6,-12.1
413,4.130,60.3,50.5,-10.2
414,4.140,54.7,48.9,-7.9
415,4.150,53.8,46.4,-5.6
416,4.160,57.1,43.7,-2.7
417,4.170,60.0,41.1,0.1
418,4.180,60.5,39.0,2.9
419,4.190,57.9,37.3,5.5
420,4.200,53.5,36.4,7.8
421,4.210,46.0,35.8,10.0
422,4.220,44.8,35.0,12.0
423,4.230,39.3,34.7,13.9
424,4.240,39.9,33.9,15.6
425,4.250,43.1,33.1,17.0
426,4.260,46.4,32.5,18.0
427,4.270,47.7,32.6,18.7
428,4.280,44.9,33.5,19.1
429,4.290,42.0,34.9,19.3
430,4.300,37.4,36.7,19.3
431,4.310,29.2,39.0,19.2
432,4.320,24.5,41.3,18.6
433,4.330,24.7,42.9,17.4
434,4.340,25.0,44.7,15.7
435,4.350,30.5,46.4,13.8
436,4.360,32.0,48.5,12.0
437,4.370,33.1,50.4,9.9
438,4.380,22.0,53.6,8.8
439,4.390,13.0,56.1,7.9
440,4.400,14.6,57.2,7.0
441,4.410,18.4,57.5,5.7
442,4.420,24.0,57.7,4.6
443,4.430,27.3,57.6,3.2
444,4.440,25.0,58.3,2.1
445,4.450,21.1,59.4,1.6
446,4.460,17.5,60.5,1.5
447,4.470,17.1,61.0,1.0
448,4.480,18.4,61.1,0.5
449,4.490,22.8,60.5,-0.6
450,4.500,24.2,60.0,-1.9
451,4.510,27.4,59.4,-3.5
452,4.520,27.5,59.8,-4.9
453,4.530,32.8,60.1,-5.9
454,4.540,32.7,60.9,-6.7
455,4.550,34.8,61.3,-7.0
456,4.560,36.6,62.1,-7.6
457,4.570,40.9,62.7,-8.4
458,4.580,47.4,63.4,-9.9
459,4.590,51.0,64.4,-11.9
460,4.600,56.9,65.9,-14.5
461,4.610,54.5,68.3,-17.3
462,4.620,50.0,71.4,-20.4
463,4.630,39.7,75.0,-23.3
464,4.640,32.8,78.3,-25.9
465,4.650,27.3,81.2,-28.5
466,4.660,28.0,83.6,-30.4
467,4.670,31.8,85.1,-32.2
468,4.680,33.1,86.9,-34.0
469,4.690,29.8,89.2,-35.5
470,4.700,25.6,91.2,-37.2
471,4.710,20.1,93.5,-39.0
472,4.720,15.4,95.6,-40.8
473,4.730,26.2,95.6,-42.8
474,4.740,30.6,95.0,-45.5
475,4.750,33.3,93.3,-48.8
476,4.760,33.1,90.8,-52.5
477,4.770,29.0,87.6,-56.3
