 Frame,  Time,EMG Signal 1~5,
   663, 0.663,         2.651,
   664, 0.664,         2.614,
   665, 0.665,         2.576,
   666, 0.666,         2.537,
   667, 0.667,         2.498,
   668, 0.668,         2.460,
   669, 0.669,         2.422,
   670, 0.670,         2.385,
   671, 0.671,         2.350,
   672, 0.672,         2.317,
   673, 0.673,         2.286,
   674, 0.674,         2.259,
   675, 0.675,         2.236,
   676, 0.676,         2.216,
   677, 0.677,         2.202,
   678, 0.678,         2.193,
   679, 0.679,         2.189,
   680, 0.680,         2.193,
   681, 0.681,         2.203,
   682, 0.682,         2.221,
   683, 0.683,         2.247,
   684, 0.684,         2.282,
   685, 0.685,         2.325,
   686, 0.686,         2.378,
   687, 0.687,         2.441,
   688, 0.688,         2.514,
   689, 0.689,         2.597,
   690, 0.690,         2.691,
   691, 0.691,         2.795,
   692, 0.692,         2.910,
   693, 0.693,         3.036,
   694, 0.694,         3.172,
   695, 0.695,         3.319,
   696, 0.696,         3.475,
   697, 0.697,         3.641,
   698, 0.698,         3.816,
   699, 0.699,         3.999,
   700, 0.700,         4.189,
   701, 0.701,         4.386,
   702, 0.702,         4.590,
   703, 0.703,         4.797,
   704, 0.704,         5.009,
   705, 0.705,         5.223,
   706, 0.706,         5.438,
   707, 0.707,         5.653,
   708, 0.708,         5.867,
   709, 0.709,         6.077,
   710, 0.710,         6.284,
   711, 0.711,         6.485,
   712, 0.712,         6.678,
   713, 0.713,         6.863,
   714, 0.714,         7.038,
   715, 0.715,         7.202,
   716, 0.716,         7.353,
   717, 0.717,         7.490,
   718, 0.718,         7.612,
   719, 0.719,         7.718,
   720, 0.720,         7.807,
   721, 0.721,         7.878,
   722, 0.722,         7.931,
   723, 0.723,         7.965,
   724, 0.724,         7.979,
   725, 0.725,         7.974,
   726, 0.726,         7.948,
   727, 0.727,         7.904,
   728, 0.728,         7.839,
   729, 0.729,         7.756,
   730, 0.730,         7.654,
   731, 0.731,         7.533,
   732, 0.732,         7.396,
   733, 0.733,         7.243,
   734, 0.734,         7.074,
   735, 0.735,         6.891,
