 Frame,  Time,EMG Signal 1~5,
  2049, 2.049,        11.031,
  2050, 2.050,        11.211,
  2051, 2.051,        11.382,
  2052, 2.052,        11.542,
  2053, 2.053,        11.689,
  2054, 2.054,        11.821,
  2055, 2.055,        11.938,
  2056, 2.056,        12.038,
  2057, 2.057,        12.119,
  2058, 2.058,        12.181,
  2059, 2.059,        12.222,
  2060, 2.060,        12.242,
  2061, 2.061,        12.241,
  2062, 2.062,        12.217,
  2063, 2.063,        12.171,
  2064, 2.064,        12.103,
  2065, 2.065,        12.013,
  2066, 2.066,        11.902,
  2067, 2.067,        11.770,
  2068, 2.068,        11.619,
  2069, 2.069,        11.450,
  2070, 2.070,        11.263,
  2071, 2.071,        11.061,
  2072, 2.072,        10.846,
  2073, 2.073,        10.619,
  2074, 2.074,        10.382,
  2075, 2.075,        10.138,
  2076, 2.076,         9.889,
  2077, 2.077,         9.638,
  2078, 2.078,         9.386,
  2079, 2.079,         9.137,
  2080, 2.080,         8.892,
  2081, 2.081,         8.655,
  2082, 2.082,         8.427,
  2083, 2.083,         8.211,
  2084, 2.084,         8.010,
  2085, 2.085,         7.825,
  2086, 2.086,         7.658,
  2087, 2.087,         7.512,
  2088, 2.088,         7.387,
  2089, 2.089,         7.286,
  2090, 2.090,         7.209,
  2091, 2.091,         7.157,
  2092, 2.092,         7.132,
  2093, 2.093,         7.133,
  2094, 2.094,         7.161,
  2095, 2.095,         7.216,
  2096, 2.096,         7.297,
  2097, 2.097,         7.404,
  2098, 2.098,         7.535,
  2099, 2.099,         7.690,
  2100, 2.100,         7.866,
  2101, 2.101,         8.063,
  2102, 2.102,         8.278,
  2103, 2.103,         8.510,
  2104, 2.104,         8.755,
  2105, 2.105,         9.011,
  2106, 2.106,         9.275,
  2107, 2.107,         9.546,
  2108, 2.108,         9.819,
  2109, 2.109,        10.091,
  2110, 2.110,        10.361,
  2111, 2.111,        10.624,
  2112, 2.112,        10.877,
  2113, 2.113,        11.119,
  2114, 2.114,        11.345,
  2115, 2.115,        11.554,
  2116, 2.116,        11.743,
  2117, 2.117,        11.909,
  2118, 2.118,        12.050,
  2119, 2.119,        12.165,
  2120, 2.120,        12.252,
  2121, 2.121,        12.310,
  2122, 2.122,        12.338,
  2123, 2.123,        12.334,
  2124, 2.124,        12.299,
  2125, 2.125,        12.233,
  2126, 2.126,        12.136,
  2127, 2.127,        12.009,
  2128, 2.128,        11.852,
  2129, 2.129,        11.667,
  2130, 2.130,        11.455,
  2131, 2.131,        11.219,
  2132, 2.132,        10.959,
  2133, 2.133,        10.679,
  2134, 2.134,        10.381,
  2135, 2.135,        10.068,
  2136, 2.136,         9.742,
  2137, 2.137,         9.406,
  2138, 2.138,         9.063,
  2139, 2.139,         8.717,
  2140, 2.140,         8.370,
  2141, 2.141,         8.026,
  2142, 2.142,         7.686,
  2143, 2.143,         7.355,
  2144, 2.144,         7.035,
  2145, 2.145,         6.729,
  2146, 2.146,         6.438,
  2147, 2.147,         6.166,
  2148, 2.148,         5.915,
  2149, 2.149,         5.686,
  2150, 2.150,         5.482,
  2151, 2.151,         5.302,
  2152, 2.152,         5.150,
  2153, 2.153,         5.025,
  2154, 2.154,         4.929,
  2155, 2.155,         4.861,
  2156, 2.156,         4.822,
  2157, 2.157,         4.811,
  2158, 2.158,         4.829,
  2159, 2.159,         4.873,
  2160, 2.160,         4.945,
  2161, 2.161,         5.042,
  2162, 2.162,         5.163,
  2163, 2.163,         5.306,
  2164, 2.164,         5.470,
  2165, 2.165,         5.653,
  2166, 2.166,         5.853,
  2167, 2.167,         6.068,
  2168, 2.168,         6.295,
  2169, 2.169,         6.532,
  2170, 2.170,         6.777,
  2171, 2.171,         7.027,
  2172, 2.172,         7.281,
  2173, 2.173,         7.535,
  2174, 2.174,         7.788,
  2175, 2.175,         8.036,
  2176, 2.176,         8.280,
  2177, 2.177,         8.515,
  2178, 2.178,         8.741,
  2179, 2.179,         8.955,
  2180, 2.180,         9.156,
  2181, 2.181,         9.344,
  2182, 2.182,         9.516,
  2183, 2.183,         9.672,
  2184, 2.184,         9.810,
  2185, 2.185,         9.932,
  2186, 2.186,        10.035,
  2187, 2.187,        10.121,
  2188, 2.188,        10.188,
  2189, 2.189,        10.238,
  2190, 2.190,        10.271,
  2191, 2.191,        10.288,
  2192, 2.192,        10.289,
  2193, 2.193,        10.275,
  2194, 2.194,        10.247,
  2195, 2.195,        10.207,
  2196, 2.196,        10.156,
  2197, 2.197,        10.096,
  2198, 2.198,        10.026,
  2199, 2.199,         9.950,
  2200, 2.200,         9.868,
  2201, 2.201,         9.782,
  2202, 2.202,         9.693,
  2203, 2.203,         9.603,
  2204, 2.204,         9.512,
  2205, 2.205,         9.422,
  2206, 2.206,         9.333,
  2207, 2.207,         9.248,
  2208, 2.208,         9.165,
  2209, 2.209,         9.086,
  2210, 2.210,         9.012,
  2211, 2.211,         8.942,
  2212, 2.212,         8.877,
  2213, 2.213,         8.817,
  2214, 2.214,         8.762,
  2215, 2.215,         8.711,
  2216, 2.216,         8.663,
  2217, 2.217,         8.620,
  2218, 2.218,         8.578,
  2219, 2.219,         8.539,
  2220, 2.220,         8.502,
  2221, 2.221,         8.464,
  2222, 2.222,         8.426,
  2223, 2.223,         8.387,
  2224, 2.224,         8.345,
  2225, 2.225,         8.300,
  2226, 2.226,         8.251,
  2227, 2.227,         8.197,
  2228, 2.228,         8.137,
  2229, 2.229,         8.072,
  2230, 2.230,         7.999,
  2231, 2.231,         7.919,
  2232, 2.232,         7.832,
  2233, 2.233,         7.737,
  2234, 2.234,         7.634,
  2235, 2.235,         7.523,
  2236, 2.236,         7.406,
  2237, 2.237,         7.281,
  2238, 2.238,         7.149,
  2239, 2.239,         7.012,
  2240, 2.240,         6.869,
  2241, 2.241,         6.722,
  2242, 2.242,         6.571,
  2243, 2.243,         6.418,
  2244, 2.244,         6.263,
  2245, 2.245,         6.107,
  2246, 2.246,         5.952,
  2247, 2.247,         5.798,
  2248, 2.248,         5.647,
  2249, 2.249,         5.500,
  2250, 2.250,         5.358,
  2251, 2.251,         5.222,
  2252, 2.252,         5.093,
  2253, 2.253,         4.972,
  2254, 2.254,         4.860,
  2255, 2.255,         4.758,
  2256, 2.256,         4.666,
  2257, 2.257,         4.585,
  2258, 2.258,         4.515,
  2259, 2.259,         4.457,
  2260, 2.260,         4.412,
  2261, 2.261,         4.379,
  2262, 2.262,         4.358,
  2263, 2.263,         4.350,
  2264, 2.264,         4.354,
  2265, 2.265,         4.370,
  2266, 2.266,         4.398,
  2267, 2.267,         4.437,
  2268, 2.268,         4.487,
  2269, 2.269,         4.546,
  2270, 2.270,         4.615,
  2271, 2.271,         4.693,
  2272, 2.272,         4.778,
  2273, 2.273,         4.870,
  2274, 2.274,         4.968,
  2275, 2.275,         5.071,
  2276, 2.276,         5.178,
  2277, 2.277,         5.288,
  2278, 2.278,         5.401,
  2279, 2.279,         5.515,
  2280, 2.280,         5.630,
  2281, 2.281,         5.744,
  2282, 2.282,         5.857,
  2283, 2.283,         5.968,
  2284, 2.284,         6.077,
  2285, 2.285,         6.182,
  2286, 2.286,         6.284,
  2287, 2.287,         6.382,
  2288, 2.288,         6.475,
  2289, 2.289,         6.563,
  2290, 2.290,         6.646,
  2291, 2.291,         6.723,
  2292, 2.292,         6.795,
  2293, 2.293,         6.861,
  2294, 2.294,         6.922,
  2295, 2.295,         6.976,
  2296, 2.296,         7.025,
  2297, 2.297,         7.069,
  2298, 2.298,         7.107,
  2299, 2.299,         7.139,
  2300, 2.300,         7.167,
  2301, 2.301,         7.189,
  2302, 2.302,         7.207,
  2303, 2.303,         7.220,
  2304, 2.304,         7.229,
  2305, 2.305,         7.233,
  2306, 2.306,         7.233,
  2307, 2.307,         7.230,
  2308, 2.308,         7.223,
  2309, 2.309,         7.212,
  2310, 2.310,         7.199,
  2311, 2.311,         7.182,
  2312, 2.312,         7.163,
  2313, 2.313,         7.141,
  2314, 2.314,         7.116,
  2315, 2.315,         7.090,
  2316, 2.316,         7.062,
  2317, 2.317,         7.033,
  2318, 2.318,         7.003,
  2319, 2.319,         6.972,
  2320, 2.320,         6.941,
  2321, 2.321,         6.910,
  2322, 2.322,         6.880,
  2323, 2.323,         6.851,
  2324, 2.324,         6.823,
  2325, 2.325,         6.798,
  2326, 2.326,         6.775,
  2327, 2.327,         6.756,
  2328, 2.328,         6.741,
  2329, 2.329,         6.730,
  2330, 2.330,         6.723,
  2331, 2.331,         6.722,
  2332, 2.332,         6.727,
  2333, 2.333,         6.739,
  2334, 2.334,         6.757,
  2335, 2.335,         6.782,
  2336, 2.336,         6.814,
  2337, 2.337,         6.854,
  2338, 2.338,         6.902,
  2339, 2.339,         6.957,
  2340, 2.340,         7.021,
  2341, 2.341,         7.092,
  2342, 2.342,         7.171,
  2343, 2.343,         7.258,
  2344, 2.344,         7.352,
  2345, 2.345,         7.453,
  2346, 2.346,         7.560,
  2347, 2.347,         7.674,
  2348, 2.348,         7.792,
  2349, 2.349,         7.916,
  2350, 2.350,         8.044,
  2351, 2.351,         8.176,
  2352, 2.352,         8.310,
  2353, 2.353,         8.447,
  2354, 2.354,         8.585,
  2355, 2.355,         8.723,
  2356, 2.356,         8.861,
  2357, 2.357,         8.998,
  2358, 2.358,         9.133,
  2359, 2.359,         9.264,
  2360, 2.360,         9.393,
  2361, 2.361,         9.517,
  2362, 2.362,         9.635,
  2363, 2.363,         9.748,
  2364, 2.364,         9.854,
  2365, 2.365,         9.952,
  2366, 2.366,        10.043,
  2367, 2.367,        10.125,
  2368, 2.368,        10.198,
  2369, 2.369,        10.261,
  2370, 2.370,        10.315,
  2371, 2.371,        10.357,
  2372, 2.372,        10.390,
  2373, 2.373,        10.411,
  2374, 2.374,        10.421,
  2375, 2.375,        10.420,
  2376, 2.376,        10.408,
  2377, 2.377,        10.384,
  2378, 2.378,        10.349,
  2379, 2.379,        10.303,
  2380, 2.380,        10.247,
  2381, 2.381,        10.180,
  2382, 2.382,        10.103,
  2383, 2.383,        10.017,
  2384, 2.384,         9.922,
  2385, 2.385,         9.819,
  2386, 2.386,         9.708,
  2387, 2.387,         9.592,
  2388, 2.388,         9.469,
  2389, 2.389,         9.343,
  2390, 2.390,         9.213,
  2391, 2.391,         9.080,
  2392, 2.392,         8.947,
  2393, 2.393,         8.814,
  2394, 2.394,         8.682,
  2395, 2.395,         8.552,
  2396, 2.396,         8.427,
  2397, 2.397,         8.306,
  2398, 2.398,         8.192,
  2399, 2.399,         8.085,
  2400, 2.400,         7.986,
  2401, 2.401,         7.896,
  2402, 2.402,         7.817,
  2403, 2.403,         7.748,
  2404, 2.404,         7.691,
  2405, 2.405,         7.646,
  2406, 2.406,         7.613,
  2407, 2.407,         7.592,
  2408, 2.408,         7.584,
  2409, 2.409,         7.588,
  2410, 2.410,         7.604,
  2411, 2.411,         7.632,
  2412, 2.412,         7.671,
  2413, 2.413,         7.720,
  2414, 2.414,         7.779,
  2415, 2.415,         7.847,
  2416, 2.416,         7.922,
  2417, 2.417,         8.003,
  2418, 2.418,         8.089,
  2419, 2.419,         8.180,
  2420, 2.420,         8.272,
  2421, 2.421,         8.366,
  2422, 2.422,         8.460,
  2423, 2.423,         8.552,
  2424, 2.424,         8.642,
  2425, 2.425,         8.727,
  2426, 2.426,         8.807,
  2427, 2.427,         8.881,
  2428, 2.428,         8.948,
  2429, 2.429,         9.007,
  2430, 2.430,         9.058,
  2431, 2.431,         9.099,
  2432, 2.432,         9.131,
  2433, 2.433,         9.153,
  2434, 2.434,         9.166,
  2435, 2.435,         9.169,
  2436, 2.436,         9.163,
  2437, 2.437,         9.149,
  2438, 2.438,         9.126,
  2439, 2.439,         9.096,
  2440, 2.440,         9.060,
  2441, 2.441,         9.019,
  2442, 2.442,         8.974,
  2443, 2.443,         8.927,
  2444, 2.444,         8.879,
  2445, 2.445,         8.831,
  2446, 2.446,         8.785,
  2447, 2.447,         8.743,
  2448, 2.448,         8.707,
  2449, 2.449,         8.677,
  2450, 2.450,         8.656,
  2451, 2.451,         8.646,
  2452, 2.452,         8.647,
  2453, 2.453,         8.662,
  2454, 2.454,         8.692,
  2455, 2.455,         8.739,
  2456, 2.456,         8.804,
  2457, 2.457,         8.887,
  2458, 2.458,         8.991,
  2459, 2.459,         9.117,
  2460, 2.460,         9.264,
  2461, 2.461,         9.434,
  2462, 2.462,         9.628,
  2463, 2.463,         9.846,
  2464, 2.464,        10.088,
  2465, 2.465,        10.355,
  2466, 2.466,        10.646,
  2467, 2.467,        10.962,
  2468, 2.468,        11.302,
  2469, 2.469,        11.665,
  2470, 2.470,        12.051,
  2471, 2.471,        12.459,
  2472, 2.472,        12.889,
  2473, 2.473,        13.338,
  2474, 2.474,        13.805,
  2475, 2.475,        14.289,
  2476, 2.476,        14.788,
  2477, 2.477,        15.301,
  2478, 2.478,        15.823,
  2479, 2.479,        16.355,
  2480, 2.480,        16.892,
  2481, 2.481,        17.432,
  2482, 2.482,        17.973,
  2483, 2.483,        18.511,
  2484, 2.484,        19.043,
  2485, 2.485,        19.565,
  2486, 2.486,        20.076,
  2487, 2.487,        20.570,
  2488, 2.488,        21.044,
  2489, 2.489,        21.496,
  2490, 2.490,        21.921,
  2491, 2.491,        22.316,
  2492, 2.492,        22.678,
  2493, 2.493,        23.003,
  2494, 2.494,        23.289,
  2495, 2.495,        23.533,
  2496, 2.496,        23.732,
  2497, 2.497,        23.883,
  2498, 2.498,        23.985,
  2499, 2.499,        24.036,
  2500, 2.500,        24.034,
  2501, 2.501,        23.979,
  2502, 2.502,        23.869,
  2503, 2.503,        23.704,
  2504, 2.504,        23.485,
  2505, 2.505,        23.212,
  2506, 2.506,        22.885,
  2507, 2.507,        22.507,
  2508, 2.508,        22.080,
  2509, 2.509,        21.604,
  2510, 2.510,        21.084,
  2511, 2.511,        20.522,
  2512, 2.512,        19.920,
  2513, 2.513,        19.284,
  2514, 2.514,        18.617,
  2515, 2.515,        17.922,
  2516, 2.516,        17.205,
  2517, 2.517,        16.469,
  2518, 2.518,        15.720,
  2519, 2.519,        14.962,
  2520, 2.520,        14.199,
  2521, 2.521,        13.437,
  2522, 2.522,        12.679,
  2523, 2.523,        11.931,
  2524, 2.524,        11.196,
  2525, 2.525,        10.480,
  2526, 2.526,         9.785,
  2527, 2.527,         9.116,
  2528, 2.528,         8.476,
  2529, 2.529,         7.868,
  2530, 2.530,         7.295,
  2531, 2.531,         6.760,
  2532, 2.532,         6.265,
  2533, 2.533,         5.811,
  2534, 2.534,         5.401,
  2535, 2.535,         5.036,
  2536, 2.536,         4.715,
  2537, 2.537,         4.441,
  2538, 2.538,         4.212,
  2539, 2.539,         4.029,
  2540, 2.540,         3.891,
  2541, 2.541,         3.798,
  2542, 2.542,         3.748,
  2543, 2.543,         3.739,
  2544, 2.544,         3.771,
  2545, 2.545,         3.841,
  2546, 2.546,         3.947,
  2547, 2.547,         4.087,
  2548, 2.548,         4.259,
  2549, 2.549,         4.459,
  2550, 2.550,         4.686,
  2551, 2.551,         4.936,
  2552, 2.552,         5.207,
  2553, 2.553,         5.496,
  2554, 2.554,         5.799,
  2555, 2.555,         6.115,
  2556, 2.556,         6.440,
  2557, 2.557,         6.771,
  2558, 2.558,         7.107,
  2559, 2.559,         7.444,
  2560, 2.560,         7.780,
  2561, 2.561,         8.113,
  2562, 2.562,         8.440,
  2563, 2.563,         8.760,
  2564, 2.564,         9.070,
  2565, 2.565,         9.369,
  2566, 2.566,         9.655,
  2567, 2.567,         9.927,
  2568, 2.568,        10.183,
  2569, 2.569,        10.422,
  2570, 2.570,        10.644,
  2571, 2.571,        10.848,
  2572, 2.572,        11.032,
  2573, 2.573,        11.197,
  2574, 2.574,        11.342,
  2575, 2.575,        11.467,
  2576, 2.576,        11.572,
  2577, 2.577,        11.657,
  2578, 2.578,        11.722,
  2579, 2.579,        11.768,
  2580, 2.580,        11.795,
  2581, 2.581,        11.804,
  2582, 2.582,        11.797,
  2583, 2.583,        11.772,
  2584, 2.584,        11.733,
  2585, 2.585,        11.679,
  2586, 2.586,        11.611,
  2587, 2.587,        11.532,
  2588, 2.588,        11.442,
  2589, 2.589,        11.343,
  2590, 2.590,        11.236,
  2591, 2.591,        11.122,
  2592, 2.592,        11.002,
  2593, 2.593,        10.879,
  2594, 2.594,        10.752,
  2595, 2.595,        10.624,
  2596, 2.596,        10.495,
  2597, 2.597,        10.367,
  2598, 2.598,        10.240,
  2599, 2.599,        10.116,
  2600, 2.600,         9.995,
  2601, 2.601,         9.878,
  2602, 2.602,         9.766,
  2603, 2.603,         9.659,
  2604, 2.604,         9.558,
  2605, 2.605,         9.463,
  2606, 2.606,         9.375,
  2607, 2.607,         9.293,
  2608, 2.608,         9.219,
  2609, 2.609,         9.151,
  2610, 2.610,         9.090,
  2611, 2.611,         9.035,
  2612, 2.612,         8.988,
  2613, 2.613,         8.947,
  2614, 2.614,         8.912,
  2615, 2.615,         8.884,
  2616, 2.616,         8.861,
  2617, 2.617,         8.844,
  2618, 2.618,         8.832,
  2619, 2.619,         8.824,
  2620, 2.620,         8.821,
  2621, 2.621,         8.822,
  2622, 2.622,         8.827,
  2623, 2.623,         8.835,
  2624, 2.624,         8.846,
  2625, 2.625,         8.859,
  2626, 2.626,         8.874,
  2627, 2.627,         8.890,
  2628, 2.628,         8.908,
  2629, 2.629,         8.927,
  2630, 2.630,         8.946,
  2631, 2.631,         8.966,
  2632, 2.632,         8.985,
  2633, 2.633,         9.004,
  2634, 2.634,         9.022,
  2635, 2.635,         9.040,
  2636, 2.636,         9.056,
  2637, 2.637,         9.071,
  2638, 2.638,         9.085,
  2639, 2.639,         9.096,
  2640, 2.640,         9.107,
  2641, 2.641,         9.115,
  2642, 2.642,         9.122,
  2643, 2.643,         9.126,
  2644, 2.644,         9.129,
  2645, 2.645,         9.130,
  2646, 2.646,         9.129,
  2647, 2.647,         9.127,
  2648, 2.648,         9.123,
  2649, 2.649,         9.117,
  2650, 2.650,         9.110,
  2651, 2.651,         9.102,
  2652, 2.652,         9.092,
  2653, 2.653,         9.082,
  2654, 2.654,         9.071,
  2655, 2.655,         9.060,
  2656, 2.656,         9.048,
  2657, 2.657,         9.037,
  2658, 2.658,         9.025,
  2659, 2.659,         9.015,
  2660, 2.660,         9.005,
  2661, 2.661,         8.996,
  2662, 2.662,         8.989,
  2663, 2.663,         8.984,
  2664, 2.664,         8.980,
  2665, 2.665,         8.978,
  2666, 2.666,         8.979,
  2667, 2.667,         8.982,
  2668, 2.668,         8.988,
  2669, 2.669,         8.997,
  2670, 2.670,         9.009,
  2671, 2.671,         9.024,
  2672, 2.672,         9.043,
  2673, 2.673,         9.065,
  2674, 2.674,         9.090,
  2675, 2.675,         9.118,
  2676, 2.676,         9.150,
  2677, 2.677,         9.186,
  2678, 2.678,         9.225,
  2679, 2.679,         9.268,
  2680, 2.680,         9.314,
  2681, 2.681,         9.364,
  2682, 2.682,         9.417,
  2683, 2.683,         9.473,
  2684, 2.684,         9.534,
  2685, 2.685,         9.597,
  2686, 2.686,         9.665,
  2687, 2.687,         9.735,
  2688, 2.688,         9.810,
  2689, 2.689,         9.887,
  2690, 2.690,         9.968,
  2691, 2.691,        10.052,
  2692, 2.692,        10.140,
  2693, 2.693,        10.230,
  2694, 2.694,        10.323,
  2695, 2.695,        10.419,
  2696, 2.696,        10.517,
  2697, 2.697,        10.616,
  2698, 2.698,        10.718,
  2699, 2.699,        10.820,
  2700, 2.700,        10.923,
  2701, 2.701,        11.026,
  2702, 2.702,        11.128,
  2703, 2.703,        11.230,
  2704, 2.704,        11.330,
  2705, 2.705,        11.428,
  2706, 2.706,        11.523,
  2707, 2.707,        11.614,
  2708, 2.708,        11.702,
  2709, 2.709,        11.784,
  2710, 2.710,        11.862,
  2711, 2.711,        11.934,
  2712, 2.712,        11.999,
  2713, 2.713,        12.058,
  2714, 2.714,        12.111,
  2715, 2.715,        12.156,
  2716, 2.716,        12.193,
  2717, 2.717,        12.224,
  2718, 2.718,        12.246,
  2719, 2.719,        12.261,
  2720, 2.720,        12.269,
  2721, 2.721,        12.270,
  2722, 2.722,        12.263,
  2723, 2.723,        12.250,
  2724, 2.724,        12.231,
  2725, 2.725,        12.206,
  2726, 2.726,        12.175,
  2727, 2.727,        12.140,
  2728, 2.728,        12.100,
  2729, 2.729,        12.056,
  2730, 2.730,        12.009,
  2731, 2.731,        11.960,
  2732, 2.732,        11.908,
  2733, 2.733,        11.855,
  2734, 2.734,        11.801,
  2735, 2.735,        11.746,
  2736, 2.736,        11.691,
  2737, 2.737,        11.637,
  2738, 2.738,        11.583,
  2739, 2.739,        11.531,
  2740, 2.740,        11.480,
  2741, 2.741,        11.430,
  2742, 2.742,        11.382,
  2743, 2.743,        11.335,
  2744, 2.744,        11.289,
  2745, 2.745,        11.245,
  2746, 2.746,        11.202,
  2747, 2.747,        11.159,
  2748, 2.748,        11.117,
  2749, 2.749,        11.075,
  2750, 2.750,        11.032,
  2751, 2.751,        10.988,
  2752, 2.752,        10.942,
  2753, 2.753,        10.893,
  2754, 2.754,        10.842,
  2755, 2.755,        10.788,
  2756, 2.756,        10.729,
  2757, 2.757,        10.666,
  2758, 2.758,        10.597,
  2759, 2.759,        10.524,
  2760, 2.760,        10.444,
  2761, 2.761,        10.359,
  2762, 2.762,        10.268,
  2763, 2.763,        10.170,
  2764, 2.764,        10.067,
  2765, 2.765,         9.957,
  2766, 2.766,         9.843,
  2767, 2.767,         9.723,
  2768, 2.768,         9.599,
  2769, 2.769,         9.471,
  2770, 2.770,         9.341,
  2771, 2.771,         9.208,
  2772, 2.772,         9.074,
  2773, 2.773,         8.941,
  2774, 2.774,         8.808,
  2775, 2.775,         8.678,
  2776, 2.776,         8.552,
  2777, 2.777,         8.430,
  2778, 2.778,         8.315,
  2779, 2.779,         8.207,
  2780, 2.780,         8.107,
  2781, 2.781,         8.018,
  2782, 2.782,         7.939,
  2783, 2.783,         7.872,
  2784, 2.784,         7.818,
  2785, 2.785,         7.778,
  2786, 2.786,         7.753,
  2787, 2.787,         7.744,
  2788, 2.788,         7.751,
  2789, 2.789,         7.774,
  2790, 2.790,         7.814,
  2791, 2.791,         7.872,
  2792, 2.792,         7.947,
  2793, 2.793,         8.040,
  2794, 2.794,         8.151,
  2795, 2.795,         8.278,
  2796, 2.796,         8.423,
  2797, 2.797,         8.585,
  2798, 2.798,         8.762,
  2799, 2.799,         8.955,
  2800, 2.800,         9.164,
  2801, 2.801,         9.386,
  2802, 2.802,         9.622,
  2803, 2.803,         9.870,
  2804, 2.804,        10.130,
  2805, 2.805,        10.401,
  2806, 2.806,        10.682,
  2807, 2.807,        10.971,
  2808, 2.808,        11.268,
  2809, 2.809,        11.572,
  2810, 2.810,        11.881,
  2811, 2.811,        12.196,
  2812, 2.812,        12.513,
  2813, 2.813,        12.834,
  2814, 2.814,        13.156,
  2815, 2.815,        13.478,
  2816, 2.816,        13.801,
  2817, 2.817,        14.121,
  2818, 2.818,        14.440,
  2819, 2.819,        14.755,
  2820, 2.820,        15.066,
  2821, 2.821,        15.372,
  2822, 2.822,        15.671,
  2823, 2.823,        15.964,
  2824, 2.824,        16.248,
  2825, 2.825,        16.524,
  2826, 2.826,        16.789,
  2827, 2.827,        17.044,
  2828, 2.828,        17.288,
  2829, 2.829,        17.518,
  2830, 2.830,        17.735,
  2831, 2.831,        17.938,
  2832, 2.832,        18.126,
  2833, 2.833,        18.297,
  2834, 2.834,        18.452,
  2835, 2.835,        18.589,
  2836, 2.836,        18.708,
  2837, 2.837,        18.808,
  2838, 2.838,        18.889,
  2839, 2.839,        18.950,
  2840, 2.840,        18.990,
  2841, 2.841,        19.010,
  2842, 2.842,        19.009,
  2843, 2.843,        18.987,
  2844, 2.844,        18.944,
  2845, 2.845,        18.880,
  2846, 2.846,        18.797,
  2847, 2.847,        18.693,
  2848, 2.848,        18.570,
  2849, 2.849,        18.428,
  2850, 2.850,        18.268,
  2851, 2.851,        18.092,
  2852, 2.852,        17.899,
  2853, 2.853,        17.692,
  2854, 2.854,        17.471,
  2855, 2.855,        17.237,
  2856, 2.856,        16.993,
  2857, 2.857,        16.739,
  2858, 2.858,        16.476,
  2859, 2.859,        16.207,
  2860, 2.860,        15.932,
  2861, 2.861,        15.653,
  2862, 2.862,        15.371,
  2863, 2.863,        15.088,
  2864, 2.864,        14.805,
  2865, 2.865,        14.522,
  2866, 2.866,        14.242,
  2867, 2.867,        13.965,
  2868, 2.868,        13.692,
  2869, 2.869,        13.425,
  2870, 2.870,        13.163,
  2871, 2.871,        12.909,
  2872, 2.872,        12.662,
  2873, 2.873,        12.424,
  2874, 2.874,        12.195,
  2875, 2.875,        11.975,
  2876, 2.876,        11.766,
  2877, 2.877,        11.566,
  2878, 2.878,        11.377,
  2879, 2.879,        11.200,
  2880, 2.880,        11.033,
  2881, 2.881,        10.878,
  2882, 2.882,        10.734,
  2883, 2.883,        10.602,
  2884, 2.884,        10.481,
  2885, 2.885,        10.372,
  2886, 2.886,        10.275,
  2887, 2.887,        10.191,
  2888, 2.888,        10.118,
  2889, 2.889,        10.057,
  2890, 2.890,        10.008,
  2891, 2.891,         9.971,
  2892, 2.892,         9.947,
  2893, 2.893,         9.936,
  2894, 2.894,         9.937,
  2895, 2.895,         9.951,
  2896, 2.896,         9.978,
  2897, 2.897,        10.019,
  2898, 2.898,        10.073,
  2899, 2.899,        10.142,
  2900, 2.900,        10.224,
  2901, 2.901,        10.321,
  2902, 2.902,        10.433,
  2903, 2.903,        10.560,
  2904, 2.904,        10.702,
  2905, 2.905,        10.860,
  2906, 2.906,        11.034,
  2907, 2.907,        11.224,
  2908, 2.908,        11.430,
  2909, 2.909,        11.652,
  2910, 2.910,        11.890,
  2911, 2.911,        12.145,
  2912, 2.912,        12.415,
  2913, 2.913,        12.702,
  2914, 2.914,        13.004,
  2915, 2.915,        13.321,
  2916, 2.916,        13.652,
  2917, 2.917,        13.998,
  2918, 2.918,        14.358,
  2919, 2.919,        14.730,
  2920, 2.920,        15.113,
  2921, 2.921,        15.508,
  2922, 2.922,        15.911,
  2923, 2.923,        16.324,
  2924, 2.924,        16.743,
  2925, 2.925,        17.168,
  2926, 2.926,        17.597,
  2927, 2.927,        18.029,
  2928, 2.928,        18.461,
  2929, 2.929,        18.892,
  2930, 2.930,        19.321,
  2931, 2.931,        19.744,
  2932, 2.932,        20.161,
  2933, 2.933,        20.569,
  2934, 2.934,        20.966,
  2935, 2.935,        21.351,
  2936, 2.936,        21.720,
  2937, 2.937,        22.072,
  2938, 2.938,        22.406,
  2939, 2.939,        22.718,
  2940, 2.940,        23.008,
  2941, 2.941,        23.273,
  2942, 2.942,        23.512,
  2943, 2.943,        23.722,
  2944, 2.944,        23.904,
  2945, 2.945,        24.055,
  2946, 2.946,        24.174,
  2947, 2.947,        24.260,
  2948, 2.948,        24.313,
  2949, 2.949,        24.331,
  2950, 2.950,        24.316,
  2951, 2.951,        24.265,
  2952, 2.952,        24.180,
  2953, 2.953,        24.060,
  2954, 2.954,        23.906,
  2955, 2.955,        23.719,
  2956, 2.956,        23.498,
  2957, 2.957,        23.245,
  2958, 2.958,        22.961,
  2959, 2.959,        22.648,
  2960, 2.960,        22.306,
  2961, 2.961,        21.936,
  2962, 2.962,        21.541,
  2963, 2.963,        21.122,
  2964, 2.964,        20.680,
  2965, 2.965,        20.218,
  2966, 2.966,        19.738,
  2967, 2.967,        19.241,
  2968, 2.968,        18.729,
  2969, 2.969,        18.206,
  2970, 2.970,        17.672,
  2971, 2.971,        17.130,
  2972, 2.972,        16.583,
  2973, 2.973,        16.033,
  2974, 2.974,        15.483,
  2975, 2.975,        14.935,
  2976, 2.976,        14.391,
  2977, 2.977,        13.856,
  2978, 2.978,        13.330,
  2979, 2.979,        12.818,
