Frame,Time,GSensor.X,GSensor.Y,GSensor.Z,
284,2.840,0.201,-1.171,8.857,
285,2.850,0.205,-1.222,8.880,
286,2.860,0.229,-1.192,8.919,
287,2.870,0.229,-1.114,8.951,
288,2.880,0.233,-1.157,8.945,
289,2.890,0.220,-1.097,8.890,
290,2.900,0.253,-1.161,8.987,
291,2.910,0.242,-1.169,9.024,
292,2.920,0.193,-1.223,9.008,
293,2.930,0.195,-1.259,8.988,
294,2.940,0.159,-1.268,8.975,
295,2.950,0.133,-1.249,8.988,
296,2.960,0.140,-1.231,8.991,
297,2.970,0.158,-1.263,8.981,
298,2.980,0.124,-1.143,9.018,
299,2.990,0.080,-1.172,8.943,
300,3.000,0.007,-1.220,9.026,
301,3.010,-0.039,-1.067,8.980,
302,3.020,0.008,-1.110,8.881,
303,3.030,-0.028,-1.119,8.877,
304,3.040,-0.005,-1.059,8.894,
305,3.050,0.107,-1.149,8.936,
306,3.060,0.183,-1.143,9.012,
307,3.070,0.272,-1.186,8.949,
308,3.080,0.253,-1.251,8.994,
309,3.090,0.248,-1.271,8.974,
310,3.100,0.235,-1.216,8.993,
311,3.110,0.196,-1.322,8.882,
312,3.120,0.148,-1.171,8.936,
313,3.130,0.152,-1.115,8.935,
314,3.140,0.231,-1.206,8.954,
315,3.150,0.219,-1.226,8.950,
316,3.160,0.244,-1.195,9.011,
317,3.170,0.271,-1.218,9.011,
318,3.180,0.218,-1.220,8.986,
319,3.190,0.215,-1.176,8.944,
320,3.200,0.182,-1.250,9.017,
321,3.210,0.117,-1.236,8.981,
322,3.220,0.098,-1.263,8.938,
323,3.230,0.057,-1.246,9.008,
324,3.240,0.059,-1.263,8.990,
325,3.250,0.087,-1.241,9.016,
326,3.260,0.126,-1.269,9.016,
327,3.270,0.136,-1.249,8.964,
328,3.280,0.066,-1.253,8.933,
329,3.290,0.089,-1.271,8.954,
330,3.300,0.099,-1.211,8.953,
331,3.310,0.150,-1.194,8.973,
332,3.320,0.170,-1.223,8.943,
333,3.330,0.171,-1.169,8.967,
334,3.340,0.187,-1.278,9.004,
335,3.350,0.192,-1.242,8.968,
336,3.360,0.180,-1.200,9.000,
337,3.370,0.186,-1.224,8.976,
338,3.380,0.207,-1.182,8.955,
339,3.390,0.223,-1.189,8.880,
340,3.400,0.214,-1.218,8.939,
341,3.410,0.203,-1.207,9.000,
342,3.420,0.198,-1.205,8.914,
343,3.430,0.166,-1.223,9.014,
344,3.440,0.156,-1.229,9.008,
345,3.450,0.144,-1.224,9.004,
346,3.460,0.151,-1.225,8.975,
347,3.470,0.184,-1.201,8.921,
348,3.480,0.166,-1.256,8.988,
349,3.490,0.208,-1.238,8.979,
350,3.500,0.189,-1.277,8.980,
351,3.510,0.201,-1.188,8.960,
352,3.520,0.124,-1.190,8.937,
353,3.530,0.207,-1.132,8.948,
354,3.540,0.186,-1.206,8.931,
355,3.550,0.176,-1.171,8.917,
356,3.560,0.164,-1.269,8.896,
357,3.570,0.209,-1.296,8.912,
358,3.580,0.218,-1.218,8.997,
359,3.590,0.165,-1.386,8.888,
360,3.600,0.205,-1.320,8.959,
361,3.610,0.209,-1.351,8.968,
362,3.620,0.215,-1.384,8.919,
363,3.630,0.192,-1.296,8.945,
364,3.640,0.278,-1.348,8.944,
365,3.650,0.237,-1.332,8.968,
366,3.660,0.194,-1.364,9.014,
367,3.670,0.154,-1.291,9.052,
368,3.680,0.134,-1.192,9.059,
369,3.690,0.123,-1.091,9.084,
370,3.700,0.303,-0.943,8.988,
371,3.710,0.634,-1.052,9.102,
372,3.720,0.575,-1.114,8.878,
373,3.730,0.189,-1.146,8.872,
374,3.740,-0.083,-1.240,8.790,
375,3.750,0.056,-1.544,8.943,
376,3.760,0.245,-1.837,8.899,
377,3.770,0.318,-2.071,9.123,
378,3.780,0.329,-1.856,9.032,
379,3.790,0.214,-1.534,9.127,
380,3.800,0.200,-1.183,9.039,
381,3.810,-0.141,-1.052,8.878,
382,3.820,-0.356,-1.336,9.075,
383,3.830,-1.674,-1.498,8.262,
384,3.840,0.734,-1.734,9.496,
385,3.850,0.646,-1.520,8.974,
386,3.860,0.723,-1.450,9.109,
387,3.870,-0.306,-2.341,8.923,
388,3.880,0.524,-2.645,9.428,
389,3.890,0.239,-1.297,9.763,
390,3.900,-0.054,-1.369,8.408,
391,3.910,-0.816,-1.971,8.203,
392,3.920,-0.864,-1.104,9.970,
393,3.930,-0.031,-0.175,7.191,
394,3.940,0.480,-2.281,10.061,
395,3.950,-1.380,0.383,10.845,
396,3.960,0.030,0.540,10.324,
397,3.970,1.550,4.534,8.475,
398,3.980,0.760,-0.204,7.703,
399,3.990,0.947,-0.491,8.982,
400,4.000,-0.028,-1.589,9.149,
401,4.010,-1.242,-1.247,9.300,
402,4.020,-1.523,-1.202,9.282,
403,4.030,-0.949,-1.091,9.196,
404,4.040,0.044,-1.037,8.401,
405,4.050,0.808,-1.084,8.353,
406,4.060,1.166,-1.159,8.663,
407,4.070,0.634,-1.201,8.985,
408,4.080,0.893,-1.296,8.854,
409,4.090,2.128,-0.633,8.525,
410,4.100,1.675,-0.445,8.932,
411,4.110,1.538,-0.239,9.124,
412,4.120,1.027,-0.454,9.772,
413,4.130,0.959,-0.647,9.255,
414,4.140,-0.208,-0.774,8.547,
415,4.150,-1.845,-0.590,8.596,
416,4.160,-2.152,-1.127,8.889,
417,4.170,-1.825,-1.451,9.628,
418,4.180,-1.496,-1.425,9.431,
419,4.190,-0.956,-1.463,9.558,
420,4.200,-0.367,-0.927,9.334,
421,4.210,0.235,-0.943,9.303,
422,4.220,0.624,-0.900,9.316,
423,4.230,0.555,-0.648,9.606,
424,4.240,0.461,-0.557,9.543,
425,4.250,0.284,-0.582,9.758,
426,4.260,0.209,-0.658,9.990,
427,4.270,-0.015,-0.742,11.028,
428,4.280,-0.457,-0.896,11.268,
429,4.290,-0.702,-1.164,11.545,
430,4.300,-0.764,-1.721,12.206,
431,4.310,-0.561,-2.223,11.980,
432,4.320,-0.239,-2.518,11.925,
433,4.330,-0.130,-2.711,11.758,
434,4.340,-0.141,-2.988,12.308,
435,4.350,-0.186,-3.145,12.351,
436,4.360,-0.064,-3.031,12.053,
437,4.370,0.095,-2.841,12.612,
438,4.380,0.235,-2.373,12.105,
439,4.390,0.174,-2.223,11.901,
440,4.400,0.186,-2.416,11.321,
441,4.410,0.201,-2.660,10.582,
442,4.420,0.235,-2.750,10.335,
443,4.430,-0.066,-2.841,9.429,
444,4.440,0.176,-2.431,9.504,
445,4.450,0.515,-2.159,9.289,
446,4.460,0.660,-2.291,9.470,
447,4.470,0.606,-2.255,9.617,
448,4.480,0.982,-2.286,9.837,
449,4.490,0.267,-2.411,8.868,
450,4.500,0.154,-2.566,8.554,
451,4.510,0.067,-2.883,8.244,
452,4.520,0.322,-2.437,7.921,
453,4.530,0.606,-2.452,8.094,
454,4.540,0.618,-2.441,8.136,
455,4.550,0.751,-2.160,7.862,
456,4.560,0.809,-2.155,8.411,
457,4.570,0.318,-2.251,8.340,
458,4.580,0.022,-2.331,8.329,
459,4.590,-0.161,-2.495,8.422,
460,4.600,-0.210,-2.603,7.931,
461,4.610,0.043,-2.864,7.924,
462,4.620,0.177,-3.091,8.151,
463,4.630,0.168,-3.140,7.803,
464,4.640,0.130,-3.423,7.821,
465,4.650,0.253,-3.383,7.809,
466,4.660,0.557,-3.510,7.838,
467,4.670,0.932,-3.628,7.884,
468,4.680,1.069,-3.358,7.692,
469,4.690,0.942,-3.480,7.637,
470,4.700,0.803,-3.471,7.447,
471,4.710,0.522,-3.356,7.380,
472,4.720,0.237,-3.228,7.303,
473,4.730,-0.184,-3.282,6.930,
474,4.740,-0.692,-3.261,6.925,
475,4.750,-0.647,-3.109,7.325,
476,4.760,-0.596,-3.419,7.625,
477,4.770,-0.467,-3.455,7.789,
478,4.780,-0.284,-3.667,8.288,
479,4.790,0.190,-4.260,8.900,
480,4.800,0.207,-4.509,8.613,
481,4.810,-0.013,-4.522,8.519,
482,4.820,-0.269,-4.856,8.159,
483,4.830,-0.283,-4.895,7.615,
484,4.840,-0.250,-4.966,7.365,
485,4.850,0.132,-5.197,7.211,
486,4.860,-0.392,-5.089,7.092,
487,4.870,0.377,-4.790,6.938,
488,4.880,0.036,-5.226,7.617,
489,4.890,-0.029,-5.029,7.548,
490,4.900,-0.083,-5.015,7.455,
491,4.910,-0.184,-5.499,7.061,
492,4.920,-0.420,-5.789,5.206,
493,4.930,-0.750,-6.055,3.959,
494,4.940,-0.725,-6.241,4.585,
495,4.950,-1.104,-6.664,4.485,
496,4.960,-1.401,-7.094,4.229,
497,4.970,-1.764,-7.182,4.282,
498,4.980,-1.978,-7.444,4.106,
499,4.990,-1.831,-7.705,4.410,
500,5.000,-1.642,-7.353,4.644,
501,5.010,-1.292,-7.318,5.536,
502,5.020,-1.150,-7.262,6.336,
503,5.030,-0.909,-7.407,6.779,
504,5.040,-0.691,-7.638,6.918,
505,5.050,-0.697,-7.713,5.954,
506,5.060,-0.634,-7.925,5.417,
507,5.070,-0.458,-8.069,4.962,
508,5.080,-0.177,-8.285,4.551,
509,5.090,0.047,-8.205,4.303,
510,5.100,0.247,-7.837,4.600,
511,5.110,0.486,-7.712,4.089,
512,5.120,0.436,-7.293,3.678,
513,5.130,0.452,-7.204,3.653,
514,5.140,0.589,-7.822,2.856,
515,5.150,1.027,-7.561,3.129,
516,5.160,0.564,-6.863,2.935,
517,5.170,0.110,-6.645,3.236,
518,5.180,-0.438,-7.073,4.126,
519,5.190,-1.214,-6.764,3.747,
520,5.200,-2.037,-7.196,3.542,
521,5.210,-2.147,-7.612,4.767,
522,5.220,-1.898,-8.073,5.333,
523,5.230,-1.199,-8.602,6.379,
524,5.240,-0.629,-8.155,4.895,
525,5.250,-0.376,-8.419,4.501,
526,5.260,0.443,-8.730,6.213,
527,5.270,0.104,-8.707,5.205,
528,5.280,0.084,-8.873,5.654,
529,5.290,0.133,-8.628,6.025,
530,5.300,-0.071,-8.322,6.084,
531,5.310,-0.350,-8.146,4.907,
532,5.320,-0.757,-7.542,3.823,
533,5.330,-0.647,-6.725,5.426,
534,5.340,-0.987,-7.241,5.273,
535,5.350,-1.083,-7.445,5.292,
536,5.360,-1.092,-7.682,5.498,
537,5.370,-0.946,-7.615,5.474,
538,5.380,-0.482,-7.583,5.297,
539,5.390,0.122,-7.043,5.273,
540,5.400,0.247,-7.178,4.818,
541,5.410,0.089,-7.820,5.473,
542,5.420,-0.218,-6.697,5.385,
543,5.430,0.005,-8.152,5.387,
544,5.440,0.121,-8.417,5.273,
545,5.450,0.187,-8.534,4.458,
546,5.460,0.074,-7.999,5.312,
547,5.470,-0.325,-8.219,4.829,
548,5.480,-0.695,-8.290,4.999,
549,5.490,-1.176,-8.422,4.767,
550,5.500,-0.971,-8.234,5.341,
551,5.510,-0.720,-8.922,6.019,
552,5.520,-0.576,-8.820,5.824,
553,5.530,-0.290,-9.360,5.395,
